address,comments_num,five,four,name,one,price,three,two
中关村海淀大街34号海置创投大厦,5509,2627,1467,东来顺饭庄(中关村海淀大街店),310,102,766,275
荣华中路8号院华联力宝购物中心4层(地铁亦庄线万源街A口),5515,4538,696,汤城小厨(华联力宝购物中心店),61,86,174,46
朝阳公园路6号蓝色港湾国际商区左岸酒吧街北口,5523,3846,920,大渔铁板烧(蓝色港湾店),210,251,419,128
三丰北里2号悠唐购物中心一期4层,5522,3297,1423,南锣肥猫烤鱼(悠唐店),147,107,533,122
成府路35号东源大厦4楼(近五道口城铁),5542,2784,1779,坦坦大炉(五道口店),168,120,654,144
宜居南路2号楼四元桥家乐福3楼(宜家家居),5551,3783,1337,小吊梨汤(望京店),91,80,295,45
南锣鼓巷108号院内(近过客酒吧),5568,1864,1701,过客(南锣鼓巷店),58,82,674,80
中关村丹棱街甲1号欧美汇购物中心5楼,5568,3937,1007,度小月(欧美汇购物中心店),93,78,444,87
西红门镇福宝巷7号(近西红门政府),5569,3376,1511,十一时蛋糕(西红门店),109,88,484,89
八里庄东里1号莱锦·town项目A区301,5568,4284,889,木屋烧烤(朝阳店),71,73,269,55
宣武门外大街25号,5575,3473,1022,李老爹香辣蟹(宣武门店),183,128,512,144
亮马桥路39号第一上海中心1楼,5592,2669,1628,松子日本料理(亮马桥店),68,155,529,87
朝阳公园路6号蓝色港湾国际商区1F层BS-109号(临近停车场西南出入口西餐街临街第一家新百伦对面，zoocoffee隔壁，新元素对面),5598,3738,1291,So Lounge索兰至餐厅(蓝色港湾店),85,118,402,82
科学院南路双榆树西里10号(当代商城、华星影院、魏公村附近),5596,4619,646,六合顺(双榆树西里店),88,74,197,46
魏公村街民族大学北路8号(近中关村南大街),5606,2779,1970,江边城外烤全鱼(魏公村店),172,81,569,115
西直门外大街1号西环广场凯德MALL购物中心5楼(地坛2、4、13号线),5626,2673,1861,新辣道鱼火锅(西直门店),171,97,684,161
小月河北岸4号(近花园路职业高中),5628,2600,1516,辣婆婆(元大都店),119,124,449,95
成府路29号五道口国际美食苑2层(近五道口城铁站),5625,2723,1600,流忙村,263,80,836,203
角门北路3号首座绿洲2号楼(近天山支路),5636,4520,652,京味斋烤鸭店(洋桥店),107,77,265,70
祁家豁子2号院(近健德门桥东),5647,2873,1715,老冯烤羊蝎子馆(北土城店),217,89,675,167
南三环东路甲8号(刘家窑环岛东南角),5644,2654,1436,蟹老宋香锅(方庄店),207,111,803,208
妫水北街39号B座二层(环球新意百货附近),647,354,162,好伦哥(延庆店),31,50,79,21
欣宁街15号荟聚购物中心3层,5700,2814,1833,边境东南亚小吃(荟聚西红门店),129,76,747,177
望京开发街道河荫中路东5号(查干湖铁锅炖鱼望京分店旁),5698,3859,1333,牛街聚宝源涮肉(望京店),144,104,308,54
万泉河路68号紫金家园9号楼(人大西门南100米),5721,3603,1436,辣尚瘾(人大店),108,72,494,80
复兴门内大街51号民族饭店首层(工商银行总行),5732,3742,1135,唐宫海鲜舫(民族店),141,146,384,104
新中街甲1号(东方银座东行200米第一个红绿灯往南拐弯),5749,3181,1768,老街兔盐帮菜,167,116,513,120
龙湖·长楹天街购物中心东区4层16-17号(地铁六号线常营站e口出),5752,4420,853,水木锦堂铁板烧自助餐厅(长楹天街店),82,213,306,91
光华路金台里2号温特莱中心路北(汉庭酒店一层底商),5767,4159,1042,仙桐吉宴 铁板烧·精致料理,103,226,346,117
双榆树东里15号北京一零一中学双榆树校区门口南侧,5786,4310,1151,重八牛府(之初入江湖店),42,90,240,43
北京市复兴路12号恩菲科技大厦,5793,4149,1004,肯德基(羊坊店),107,28,423,103
"苏州街29号(海淀桥南面,白家大院北侧)",5798,4392,954,汤城小厨(苏州街店),120,92,256,76
北太平庄路25号豪威大厦B座二层(北太平庄桥往北100米路西),5805,4547,892,第六季自助餐厅(北太平庄店),109,249,208,49
东三环北路乙2号海南航空大厦B1楼,5829,3843,1388,西贝莜面村(三元桥店),80,85,440,78
远大路1号金源时代购物中心五层5-17号(公交站远大路东口站下),5832,2995,1538,金源福城肥牛火锅(远大路金源店),136,85,561,117
月坛南街30号万方西单商场3楼(近三里河东路),5846,4112,962,京味斋烤鸭店(月坛店),150,70,386,122
中关村丹棱街甲1号欧美汇购物中心F5-02,5851,3559,1454,新辣道鱼火锅(欧美汇店),163,94,551,124
花园路中城写字楼2层,5874,2934,1847,小牛海记潮汕牛肉店(牡丹园店),145,106,819,129
