address,comments_num,five,four,name,one,price,three,two
新闸路850号(近石门二路),8260,4540,2838,BELLOCO倍乐创意韩国料理(静安店),112,131,660,110
南京东路299号宏伊国际广场4层,8252,1870,2739,港丽餐厅(宏伊国际广场店),147,96,906,132
肇嘉浜路407号(近小木桥路，地铁9､12号线嘉善路站5号口出直走100米),8258,5040,2513,人和馆(肇嘉浜路店),81,114,537,87
宣化路300号华宁弘基生活中心3层,8299,4803,2681,百素·我家酸菜鱼(中山公园一店),96,80,639,80
陆家嘴西路168号正大广场4层,8308,4153,2703,望湘园(正大广场店),281,93,950,220
东方路899号浦东假日酒店2楼(近向城路),8319,3966,2706,柚子(假日店),223,240,1020,212
胶州路883号(新会路),8334,6440,1447,捞王锅物料理(长寿路店),95,136,295,57
广西北路445号(近宁波路),8326,3712,2999,哈灵面馆(广西北路店),223,34,1151,241
政民路301号(国定路口),8387,1274,2456,夏朵餐厅(复旦店),89,83,1109,129
富城路33号浦东香格里拉大酒店紫金楼2楼(近名商路),8390,3480,2460,浦东香格里拉怡咖啡,135,317,803,180
天钥桥路580号星游城2层,8371,4320,2972,柠蕴泰厨LemonGrass(星游城店),117,118,808,154
柳州路545号(近田林东路),8419,6697,1284,捞王锅物料理(田林店),58,124,326,54
金钟路633号晨讯科技大楼B楼108-109室(淞虹路站1号),8425,3960,2968,新堂洞韩国年糕火锅(金钟路店),127,52,1167,203
广中西路757号(多媒体大厦3-4楼),8428,4638,2529,唐宫海鲜舫(多媒体店),276,154,779,206
西藏北路198号大悦城北座7楼,8442,4141,3122,誉八仙酒楼(大悦城店),206,212,820,153
虹井路288号乐虹坊4楼401,8485,5919,2083,酒吞(虹井路二馆),84,429,328,71
天钥桥路580号星游城3F01号商铺(近斜土路),8494,4309,1836,望湘园(天钥桥店),142,86,705,147
浦东南路1088号1088广场1层(八佰伴),8508,3704,3140,稻香(1088广场店),349,85,1084,231
东方路796号96广场2楼(近世纪大道，张杨路),8519,5086,2257,纯彩(96广场店),289,345,695,191
沪闵路6088号龙之梦广场B2-27(近莘建路),8519,5074,2283,西贝莜面村(上海莘庄龙之梦店),157,85,841,164
东方路796号（近张杨路）96广场2楼(世纪大道地铁站),8512,4545,2612,渝利火锅(96广场店),218,138,932,204
北京东路99号益丰•外滩源4层,8562,4610,2897,御宝轩(益丰•外滩源店),188,360,738,129
天山路900号汇金百货4层(地铁2号线娄山关路站),8565,4498,2602,多伦多海鲜自助餐厅(汇金百货虹桥店),259,103,974,232
平利路86号(近灵石路),8574,6408,1604,捞王锅物料理(平利路店),80,116,408,74
沪闵路6088号龙之梦购物中心B2层B2-33(近莘庄地铁站),8579,5221,2017,塔哈尔(龙之梦购物中心莘庄店),242,93,850,249
定西路798号2楼,8605,6141,1712,哥老官重庆美蛙鱼头(定西路三哥店),187,139,463,102
南京西路2-88新世界城3楼(西藏中路口),8619,4485,1497,一茶一坐台式融合料理(上海新世界店),192,72,1087,198
肇嘉浜路1111号美罗城A区5层,8669,4297,2335,度小月(美罗城店),275,79,1382,380
共和新路2008号大宁国际商业广场12座5楼(近大宁路),8681,4559,2784,西贝莜面村(上海大宁店),157,88,991,190
真光路1288号百联中环购物广场A区4层,8683,4333,2882,新白鹿餐厅(百联中环店),198,62,1032,238
华山路855号(近复兴西路),8741,2246,3486,夏朵餐厅(丁香店),111,181,1054,147
山东中路311号黄浦市民健身中心A-1(近汉口路),8743,1588,2779,新旺茶餐厅(汉口路店),89,74,926,102
茅台路179号金虹桥国际中心LG2,8747,5609,2470,天辣绿色时尚餐厅(金虹桥国际中心店),65,103,506,97
徐家汇路618号日月光中心广场泰康区1层A01,8752,1648,3736,翠华餐厅(日月光广场店),484,92,2371,513
东方路1486号2楼(麦当劳旁),8789,5046,2471,麻省理功-深海烤鱼(东方路店),150,80,903,219
淞兴西路248号1号楼(近1919创意码头),8802,4997,2635,洞子张老匠火锅(总店),142,101,871,157
浙江南路8号(近延安东路),8803,3020,3033,三人行骨头王火锅(浙江路店),94,87,1329,166
衡山路2号甲香樟花园内(近桃江路),8801,5262,2494,鼎王无老锅(衡山路店),192,201,677,176
仙霞路8号仲盛金融中心二楼(近延安西路),8792,4094,2907,柚子(虹桥店),208,248,1114,260
海宁路269号二层(吴淞路乍浦路间),8824,3764,2303,海底捞火锅(海宁路店),44,115,485,40
肇嘉浜路1111号美罗城A区8层,8830,6284,1898,花隐日式怀石料理(上海美罗城店),96,378,450,102
中山南二路699号正大乐城2区1层104,8850,4093,3307,费尼餐厅(正大乐城店),175,88,1058,217
五角场万达广场特力时尚汇4楼,8844,5113,2476,鹅夫人(上海五角场店),164,127,896,195
芙蓉江路367号(近天山支路),8853,5114,2541,四川香天下火锅(天山店),185,132,822,191
黄陂北路227号中区广场3楼(近上海大剧院),8882,2295,1981,金时代顺风大酒店(人民广场店),94,118,737,89
南京东路353号悦荟广场6楼,8902,4596,2318,021上海菜主题餐厅(南京东路店),273,105,1206,257
岳阳路150号(近永嘉路),8923,2773,3054,穹六人间 people 6,50,193,912,89
徐家汇路618号日月光中心广场泰康区1层E02室,8948,4463,3181,小辉哥火锅(日月光广场店),161,139,938,205
打浦路1号金玉兰广场2层,8964,5488,2661,阿罗新疆餐厅(金玉兰广场店),72,98,612,131
城桥镇八一广场二期62号,313,223,70,乐凯普精品烘焙(富民店),6,29,11,3
天钥桥路131号永新坊地下一层(近辛耕路),9007,4705,3120,牛New寿喜烧(徐汇店),172,139,849,161
四川北路1727弄嘉杰国际商业广场3层(近东宝兴路),9023,3664,3330,三宝粥铺(嘉杰国际商业广场店),157,44,1577,295
天山路762号巴黎春天中区4层,9036,4346,2769,鑫海汇海鲜烤肉火锅自助餐厅(巴黎春天天山店),390,73,1264,267
莘庄都市路5001号仲盛世界商城4层,9079,5520,2660,伊秀寿司(百盛莘庄店),115,114,654,130
安福路308号104室(近武康路),9088,4417,3648,Sunflour(安福路店),99,68,815,109
南京西路1600号4楼(近常德路),9099,6017,1741,上海人家精作坊(航站店),109,173,557,99
新乐路47号(近襄阳北路),9097,4167,3507,新斗记(襄阳公园店),198,213,1004,221
长宁路1018号龙之梦购物中心7层,9119,7088,1312,57度湘(龙之梦长宁店),197,111,415,107
张杨路3611号金桥国际商业广场6座3层,9120,4430,3315,天虹海鲜酒家(金桥店),185,175,975,215
南京西路1618号（近静安寺）久光百货B1楼(近静安寺),9128,1944,3057,龙记香港茶餐厅(久光百货店),377,76,2017,420
国庠路43号(近政通路翔殷路好乐迪斜对面),9166,7464,1201,JOLIE.HOUSE-有一个锅(五角场店),80,80,343,78
斜徐路585号(近丽园路),9166,5070,2851,付小姐在成都(打浦桥总店),123,78,960,162
陆翔路111号绿地正大乐城1层,9176,7654,1139,耶里夏丽(绿地正大乐城店),96,97,227,60
虹桥路1号港汇恒隆广场5楼(华山路口),9188,2156,4344,鹿港小镇(港汇恒隆广场店),224,98,2101,363
长宁路1018号龙之梦购物中心5层,9206,7622,1032,泰妃殿(龙之梦长宁店),110,97,355,87
打浦路1号金玉兰广场四层(徐家汇路口),9245,5335,2992,海底捞火锅(打浦路店),131,136,669,117
长宁路1018号龙之梦购物中心8层,9250,2898,3472,避风塘(龙之梦长宁店),602,84,1843,429
张杨路501号第一八佰伴9层,9254,2792,2564,避风塘(八佰伴店),410,79,1333,275
仙霞西路88号百联西郊购物中心3楼,9257,5456,2351,泰妃殿(西郊百联店),223,84,974,253
金沙江路2896号(近丰庄路   13号线丰庄路下车 步行3分钟),9270,6849,1797,百岁•我家酸菜鱼(金沙江路丰庄店),133,82,402,89
淮海中路588号(近成都南路),9269,2653,3699,光明邨大酒家(淮海中路总店),181,63,1354,200
四川中路33号创业大楼1楼,9280,5851,2636,万岛日本料理(外滩店),155,380,540,98
西江湾路388号龙之梦购物中心A座6层1号,9285,4781,3046,麻小麻辣诱惑(虹口龙之梦店),199,115,1045,214
沪闵路7388号南方商城5楼(近莲花路),9301,5376,1625,吉旺港式餐厅(南方商城店),253,76,1145,291
西藏中路268号上海来福士广场01-01D,9311,3661,3804,喜茶(来福士店),314,28,1273,259
祖冲之路1239弄5号长泰广场6座3楼,9332,5564,2668,渝利火锅(长泰广场店),195,137,740,165
一二八纪念路1000弄万达金街1楼126号(近共和新路),9334,6441,1945,嗨锅(宝山万达店),175,122,643,130
四川北路1318号盛邦国际大厦2楼(近武进路地铁10号线四川北路站旁),9347,4815,2962,簪花日本料理(四川北路店),327,296,985,258
芳甸路1188弄1-4号证大喜玛拉雅中心南区B2层,9374,6814,1912,泰亭泰国时尚餐厅(证大喜玛拉雅店),118,147,419,110
长寿路155号巴黎春天陕西路店4层,9376,3805,3551,韩膳宫料理(巴黎春天店),200,88,1506,237
徐家汇路618号B2层-TK14号地下2楼麦当劳右转到底(近田子坊泰康路地铁1号口处),9384,4469,3354,一味•焖鲜圣【焖锅】(日月光中心广场店),131,76,1202,228
南京西路2-68号新世界城9层,9435,4278,3361,锅源(新世界城店),254,143,1309,233
浦东大道1108号(近桃林路),9469,5478,2699,四川香天下火锅(陆家嘴店),195,139,872,225
肇嘉浜路825号(近宛平南路),9528,6002,2397,渝香情绿色怀旧餐厅(徐家汇店),149,88,812,168
陆家嘴西路168号正大广场西区8层(近东方明珠),9560,4741,3145,小辉哥火锅(正大广场店),269,134,1146,259
东方路1298号2楼（广兰苑宾馆）(峨山路东方路口),9565,5167,1985,小肥羊(东方路店),223,94,965,216
天钥桥路580号星游城5楼(上海体育场地铁站),9569,4161,3230,80后I Can海陆自助餐厅(星游城店),306,112,1507,365
中山北路3300号环球港B1层B1062,9580,4573,3275,PANKOO釜山料理(环球港店),230,107,1254,248
张杨路3611号金桥国际商业广场8座3层,9611,5335,3081,伊秀寿司(金桥国际广场店),166,118,882,147
张杨路3611号金桥国际商业广场1座4层,9612,4773,3402,西贝莜面村(上海金桥店),139,91,1102,196
莘庄都市路5001号仲盛世界商城4层422号商铺,9646,5340,2698,鹅夫人(莘庄仲盛店),303,128,1033,272
张杨路3611号金桥国际商业广场1座4层,9662,5544,3032,豆捞坊(金桥店),144,116,799,140
淞沪路234号创智天地2层(地铁10号线江湾体育场站9号左出口出站),9667,5200,3282,胡姬兰,147,158,881,157
